nohup: ignoring input
/data2/ranran/chenghaoyue/ISGFAN/Data/dataset.py:176: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  cache = torch.load(TEST_DATA_PATH)

Initializing data loaders ...

Loading existing test dataset from /data2/ranran/chenghaoyue/ISGFAN/Data/test_dataset.pt

Data Statistics
Source Train : 2100
Target (no y): 2100
Test (y)     : 2100
2026-03-06 02:12:29,013 - INFO - [Epoch 420/3500] loss_total=0.578868, loss_main=0.151224, loss_diff_source=84.267160, loss_label_inv=2.293041, loss_global_dom=0.669960, loss_recon=0.137646, loss_local_dom=0.610432, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.5369, lr=0.00009654, epoch_time=00:00:04, eta=03:46:14
2026-03-06 02:13:13,290 - INFO - [Epoch 430/3500] loss_total=0.561879, loss_main=0.139769, loss_diff_source=87.462481, loss_label_inv=2.288696, loss_global_dom=0.657737, loss_recon=0.153280, loss_local_dom=0.637547, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.5470, lr=0.00009638, epoch_time=00:00:04, eta=03:45:32
2026-03-06 02:13:58,045 - INFO - [Epoch 440/3500] loss_total=0.552415, loss_main=0.134515, loss_diff_source=85.151102, loss_label_inv=2.293368, loss_global_dom=0.663555, loss_recon=0.135194, loss_local_dom=0.578677, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.5569, lr=0.00009621, epoch_time=00:00:04, eta=03:44:52
2026-03-06 02:14:42,771 - INFO - [Epoch 450/3500] loss_total=0.539481, loss_main=0.125512, loss_diff_source=84.950283, loss_label_inv=2.297761, loss_global_dom=0.657633, loss_recon=0.134245, loss_local_dom=0.587069, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.5667, lr=0.00009603, epoch_time=00:00:04, eta=03:44:12
2026-03-06 02:15:27,378 - INFO - [Epoch 460/3500] loss_total=0.519822, loss_main=0.103739, loss_diff_source=83.962094, loss_label_inv=2.290171, loss_global_dom=0.661592, loss_recon=0.134028, loss_local_dom=0.631988, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.5763, lr=0.00009586, epoch_time=00:00:04, eta=03:43:32
2026-03-06 02:16:12,159 - INFO - [Epoch 470/3500] loss_total=0.532703, loss_main=0.111497, loss_diff_source=85.215961, loss_label_inv=2.301744, loss_global_dom=0.665755, loss_recon=0.134930, loss_local_dom=0.646797, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.5858, lr=0.00009568, epoch_time=00:00:04, eta=03:42:52
2026-03-06 02:16:56,259 - INFO - [Epoch 480/3500] loss_total=0.544208, loss_main=0.122726, loss_diff_source=84.790530, loss_label_inv=2.321841, loss_global_dom=0.662134, loss_recon=0.133975, loss_local_dom=0.645303, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.5951, lr=0.00009549, epoch_time=00:00:04, eta=03:42:07
2026-03-06 02:17:41,001 - INFO - [Epoch 490/3500] loss_total=0.536017, loss_main=0.116920, loss_diff_source=84.153470, loss_label_inv=2.305884, loss_global_dom=0.666542, loss_recon=0.133262, loss_local_dom=0.611099, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.6043, lr=0.00009531, epoch_time=00:00:04, eta=03:41:27
2026-03-06 02:18:25,706 - INFO - [Epoch 500/3500] loss_total=0.548939, loss_main=0.120617, loss_diff_source=84.458636, loss_label_inv=2.294512, loss_global_dom=0.675128, loss_recon=0.132605, loss_local_dom=0.653080, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.6132, lr=0.00009512, epoch_time=00:00:04, eta=03:40:46
2026-03-06 02:18:25,892 - INFO - [Eval @ Epoch 500/3500] test_loss=0.267959, test_acc=0.9062
